District,party,white,black,latino,asian,native,other,college,college.rank,white.college,white.college.rank,income.med,income.rank,pop,white.raw,black.raw,hisp.raw,asian.raw,native.raw,other.raw,pop.vap,white.vap,black.vap,hisp.vap,asian.vap,native.vap,other.vap
Alabama 1st,Republican,68.48500236,25.63456007,2.501027235,1.340832797,1.070650531,0.967927,23.9,308,27.3,306,44535,358,682423,449539,187508,19086,9296,7644,9350,515948,353347,132261,12904,6918,5524,4994
Alabama 2nd,Republican,66.53220793,27.84194692,3.043395934,1.158869782,0.453487416,0.970092017,21.4,349,24.4,353,42395,381,686078,438782,201723,24648,7900,3072,9953,522837,347855,145568,15912,6059,2371,5072
Alabama 3rd,Republican,71.45856297,23.92598776,2.250893538,1.144645173,0.325704276,0.894206284,20.8,356,22.6,381,42171,387,680857,473473,170355,17932,7923,2117,9057,523481,374072,125248,11783,5992,1705,4681
Alabama 4th,Republican,86.87785584,6.54485579,4.333107521,0.454631813,0.742686838,1.046862196,16.1,415,16.9,429,39608,406,681487,578453,46163,38837,3200,5218,9616,521081,452704,34104,22579,2369,3870,5455
Alabama 5th,Republican,76.12138893,16.27268539,3.920631492,1.602243638,0.693585481,1.389465071,31.3,161,32.7,216,51531,253,683019,506307,114887,32572,11051,4753,13449,523079,398175,85119,20508,8381,3628,7268
Alabama 6th,Republican,80.76647239,12.52587932,4.105508356,1.556528547,0.272566474,0.773044915,35.3,115,37,158,61524,144,682422,537110,91612,33409,10985,1830,7476,517305,417809,64797,21238,8052,1410,3999
Alabama 7th,Democratic,35.67957734,60.20120486,2.561761526,0.739572072,0.199027402,0.618856796,19.5,384,29.1,272,33928,431,683450,220738,432189,19118,4558,1273,5574,523546,186799,315181,13412,3872,1042,3240
Alaska At-Large,Republican,68.3612353,3.077333067,4.656932291,6.165402578,13.23918495,4.499911808,29.7,200,36.6,164,73355,68,708570,454831,21862,39038,44357,102124,46358,521588,356564,16051,24290,32158,69054,23471
Arizona 1st,Democratic,56.24218614,2.127667722,18.05348941,1.757580283,20.52080282,1.298273627,23.2,318,33.2,207,48892,301,710224,361485,14687,147846,11190,162087,12929,522309,293758,11113,94295,9180,107182,6781
Arizona 2nd,Republican,69.24525125,3.473162658,21.74268968,2.988972722,0.877560672,1.672363019,33,141,38.8,141,48095,311,710224,457249,25861,183537,20664,6472,16441,558252,386563,19389,121379,16686,4899,9336
Arizona 3rd,Democratic,34.55699025,3.905830921,55.17104208,2.093248926,3.074277288,1.198610528,15.6,418,25.9,326,42953,373,710224,206608,27375,430398,12954,22441,10448,497743,172005,19441,274610,10419,15302,5966
