inc.first,inc.last,inc.elected,inc.birth,gender,ethnicity,religion,open.lgbtq
Ralph,Abraham,2014,1954,Man,White - Non-Hispanic,Southern Baptist,No
Alma,Adams,2014 Special,1946,Woman,Black - African-American,Baptist,No
Robert,Aderholt,1996,1965,Man,White - Non-Hispanic,Congregationalist,No
Pete,Aguilar,2014,1979,Man,Hispanic - Mexican,Roman Catholic,No
Rick,Allen,2014,1951,Man,White - Non-Hispanic,Methodist,No
Justin,Amash,2010,1980,Man,White - Non-Hispanic,Eastern Orthodox,No
Mark,Amodei,2011 Special,1958,Man,White - Non-Hispanic,Christian,No
Jodey,Arrington,2016,1972,Man,White - Non-Hispanic,Christian,No
Brian,Babin,2014,1948,Man,White - Non-Hispanic,Southern Baptist,No
Don,Bacon,2016,1963,Man,White - Non-Hispanic,,No
Jim,Banks,2016,1979,Man,White - Non-Hispanic,,No
Lou,Barletta,2010,1956,Man,White - Non-Hispanic,Roman Catholic,No
Andy,Barr,2012,1973,Man,White - Non-Hispanic,Episcopalian,No
Nanette,Barragan,2016,1976,Woman,Hispanic - Mexican,Roman Catholic,No
Joe,Barton,1984,1949,Man,White - Non-Hispanic,Methodist,No
Karen,Bass,2010,1953,Woman,Black - African-American,Baptist,No
Joyce,Beatty,2012,1950,Woman,Black - African-American,Baptist,No
Ami,Bera,2012,1965,Man,Asian - Indian,Unitarian Universalist,No
Jack,Bergman,2016,1946/1947,Man,White - Non-Hispanic,,No
Don,Beyer,2014,1950,Man,White - Non-Hispanic,Episcopalian,No
Andy,Biggs,2016,1958,Man,White - Non-Hispanic,Mormon,No
Gus,Bilirakis,2006,1963,Man,White - Non-Hispanic,Eastern Orthodox,No
Mike,Bishop,2014,1967,Man,White - Non-Hispanic,Congregationalist,No
Rob,Bishop,2002,1951,Man,White - Non-Hispanic,Mormon,No
Sanford,Bishop,1992,1947,Man,Black - African-American,Baptist,No
Diane,Black,2010,1951,Woman,White - Non-Hispanic,Lutheran,No
Marsha,Blackburn,2002,1952,Woman,White - Non-Hispanic,Presbyterian,No
Rod,Blum,2014,1955,Man,White - Non-Hispanic,Episcopalian,No
Earl,Blumenauer,1996 Special,1948,Man,White - Non-Hispanic,Protestant,No
Lisa,Blunt Rochester,2016,1961/1962,Woman,Black - African-American,,No
Suzanne,Bonamici,2012 Special,1954,Woman,White - Non-Hispanic,Jewish,No
Mike,Bost,2014,1960,Man,White - Non-Hispanic,Southern Baptist,No
Brendan,Boyle,2014,1977,Man,White - Non-Hispanic,Roman Catholic,No
Bob,Brady,1998 Special,1945,Man,White - Non-Hispanic,Roman Catholic,No
Kevin,Brady,1996,1955,Man,White - Non-Hispanic,Roman Catholic,No
Dave,Brat,2014 Special,1964,Man,White - Non-Hispanic,Presbyterian,No
Jim,Bridenstine,2012,1975,Man,White - Non-Hispanic,Southern Baptist,No
Mo,Brooks,2010,1954,Man,White - Non-Hispanic,Christian,No
Susan,Brooks,2012,1960,Woman,White - Non-Hispanic,Roman Catholic,No
Anthony,Brown,2016,1961,Man,Black - African-American,Roman Catholic,No
Julia,Brownley,2012,1952,Woman,White - Non-Hispanic,Episcopalian,No
Vern,Buchanan,2006,1951,Man,White - Non-Hispanic,Southern Baptist,No
Ken,Buck,2014,1959,Man,White - Non-Hispanic,Christian,No
Larry,Bucshon,2010,1962,Man,White - Non-Hispanic,Lutheran,No
Ted,Budd,2016,1971/1972,Man,White - Non-Hispanic,,No
Michael,Burgess,2002,1950,Man,White - Non-Hispanic,Anglican,No
Cheri,Bustos,2012,1961,Woman,White - Non-Hispanic,Roman Catholic,No
G.K.,Butterfield,2004 Special,1947,Man,Black - African-American,Baptist,No
Bradley,Byrne,2016,1955,Man,White - Non-Hispanic,Episcopalian,No
Ken,Calvert,1992,1953,Man,White - Non-Hispanic,Congregationalist,No
Mike,Capuano,1998,1952,Man,White - Non-Hispanic,Roman Catholic,No
Salud,Carbajal,2016,1964,Man,Hispanic - Mexican,Roman Catholic,No
Tony,Cardenas,2012,1963,Man,Hispanic - Mexican,Christian,No
André,Carson,2008 Special,1974,Man,Black - African-American,Muslim,No
Buddy,Carter,2014,1957,Man,White - Non-Hispanic,Methodist,No
John,Carter,2002,1941,Man,White - Non-Hispanic,Lutheran,No
Matt,Cartwright,2012,1961,Man,White - Non-Hispanic,Roman Catholic,No
Kathy,Castor,2006,1966,Woman,White - Non-Hispanic,Presbyterian,No
Joaquin,Castro,2012,1974,Man,Hispanic - Mexican,Roman Catholic,No
Steve,Chabot,"2010, 1994-2008",1953,Man,White - Non-Hispanic,Roman Catholic,No
Liz,Cheney,2016,1966,Woman,White - Non-Hispanic,United Methodist,No
Judy,Chu,2009 Special,1953,Woman,Asian - Chinese,Baptist,No
David,Cicilline,2010,1961,Man,White - Non-Hispanic,Jewish,Gay
Katherine,Clark,2013 Special,1963,Woman,White - Non-Hispanic,Christian,No
Yvette,Clarke,2006,1964,Woman,Black - African-American,African Methodist,No
Lacy,Clay,2000,1956,Man,Black - African-American,Roman Catholic,No
Emanuel,Cleaver,2004,1944,Man,Black - African-American,Methodist,No
Jim,Clyburn,1992,1940,Man,Black - African-American,African Methodist,No
Mike,Coffman,2008,1955,Man,White - Non-Hispanic,United Methodist,No
Steve,Cohen,2006,1949,Man,White - Non-Hispanic,Jewish,No
Tom,Cole,2002,1949,Man,Native American - Chickasaw,Methodist,No
Chris,Collins,2012,1950,Man,White - Non-Hispanic,Roman Catholic,No
Doug,Collins,2012,1966,Man,White - Non-Hispanic,Southern Baptist,No
James,Comer,2016,1943,Man,White - Non-Hispanic,Methodist,No
Barbara,Comstock,2014,1959,Woman,White - Non-Hispanic,Roman Catholic,No
Mike,Conaway,2004,1948,Man,White - Non-Hispanic,Southern Baptist,No
Gerry,Connolly,2008,1950,Man,White - Non-Hispanic,Roman Catholic,No
John,Conyers,1964,1929,Man,Black - African-American,Baptist,No
Paul,Cook,2012,1943,Man,White - Non-Hispanic,Roman Catholic,No
Jim,Cooper,"2002, 1982-1994",1954,Man,White - Non-Hispanic,Episcopalian,No
Lou,Correa,2016,1958,Man,Hispanic - Mexican,Roman Catholic,No
Jim,Costa,2004,1952,Man,White - Portuguese-American,Roman Catholic,No
Ryan,Costello,2014,1976,Man,White - Non-Hispanic,Presbyterian,No
Joe,Courtney,2006,1953,Man,White - Non-Hispanic,Roman Catholic,No
Kevin,Cramer,2012,1961,Man,White - Non-Hispanic,Evangelical,No
Rick,Crawford,2010,1966,Man,White - Non-Hispanic,Southern Baptist,No
